type,passage,original,question,choices,answer
Information comprehension and inference,"The following text is from Jane Austen’s 1811 novel <em>Sense and Sensibility</em>. Elinor lives with her younger sisters and her mother, Mrs. Dashwood. <quote>Elinor, this eldest daughter, whose advice was so effectual, possessed a strength of understanding, and coolness of judgment, which qualified her, though only nineteen, to be the counsellor of her mother, and enabled her frequently to counteract, to the advantage of them all, that eagerness of mind in Mrs. Dashwood which must generally have led to imprudence. She had an excellent heart;—her disposition was affectionate, and her feelings were strong; but she knew how to govern them: it was a knowledge which her mother had yet to learn; and which one of her sisters had resolved never to be taught.</quote>","The following text is from Jane Austen’s 1811 novel <em>Sense and Sensibility</em>. Elinor lives with her younger sisters and her mother, Mrs. Dashwood. <quote>Elinor, this eldest daughter, whose advice was so effectual, possessed a strength of understanding, and coolness of judgment, which qualified her, though only nineteen, to be the counsellor of her mother, and enabled her frequently to counteract, to the advantage of them all, that eagerness of mind in Mrs. Dashwood which must generally have led to imprudence. She had an excellent heart;—her disposition was affectionate, and her feelings were strong; but she knew how to govern them: it was a knowledge which her mother had yet to learn; and which one of her sisters had resolved never to be taught.</quote>","According to the text, what is true about Elinor?",A) Elinor often argues with her mother but fails to change her mind. B) Elinor can be overly sensitive with regard to family matters. C) Elinor thinks her mother is a bad role model. D) Elinor is remarkably mature for her age.,Elinor is remarkably mature for her age.
find the subject,"Believing that living in an impractical space can heighten awareness and even improve health, conceptual artists Madeline Gins and Shusaku Arakawa designed an apartment building in Japan to be more fanciful than functional. A kitchen counter is chest-high on one side and knee-high on the other; a ceiling has a door to nowhere. The effect is disorienting but invigorating: after four years there, filmmaker Nobu Yamaoka reported significant health benefits.","Believing that living in an impractical space can heighten awareness and even improve health, conceptual artists Madeline Gins and Shusaku Arakawa designed an apartment building in Japan to be more fanciful than functional. A kitchen counter is chest-high on one side and knee-high on the other; a ceiling has a door to nowhere. The effect is disorienting but invigorating: after four years there, filmmaker Nobu Yamaoka reported significant health benefits.",Which choice best states the main idea of the text?,"A) Although inhabiting a home surrounded by fanciful features such as those designed by Gins and Arakawa can be rejuvenating, it is unsustainable. B) Designing disorienting spaces like those in the Gins and Arakawa building is the most effective way to create a physically stimulating environment. C) As a filmmaker, Yamaoka has long supported the designs of conceptual artists such as Gins and Arakawa. D) Although impractical, the design of the apartment building by Gins and Arakawa may improve the well-being of the building’s residents.","Although impractical, the design of the apartment building by Gins and Arakawa may improve the well-being of the building’s residents."
Reasoning,"In a research paper, a student criticizes some historians of modern African politics, claiming that they have evaluated Patrice Lumumba, the first prime minister of what is now the Democratic Republic of the Congo, primarily as a symbol rather than in terms of his actions.","In a research paper, a student criticizes some historians of modern African politics, claiming that they have evaluated Patrice Lumumba, the first prime minister of what is now the Democratic Republic of the Congo, primarily as a symbol rather than in terms of his actions.",Which quotation from a work by a historian would best illustrate the student’s claim?,"A) “Lumumba is a difficult figure to evaluate due to the starkly conflicting opinions he inspired during his life and continues to inspire today.” B) “The available information makes it clear that Lumumba’s political beliefs and values were largely consistent throughout his career.” C) “Lumumba’s practical accomplishments can be passed over quickly; it is mainly as the personification of Congolese independence that he warrants scholarly attention.” D) “Many questions remain about Lumumba’s ultimate vision for an independent Congo; without new evidence coming to light, these questions are likely to remain unanswered.”",“Lumumba’s practical accomplishments can be passed over quickly; it is mainly as the personification of Congolese independence that he warrants scholarly attention.”
Reasoning,"Given that stars and planets initially form from the same gas and dust in space, some astronomers have posited that host stars (such as the Sun) and their planets (such as those in our solar system) are composed of the same materials, with the planets containing equal or smaller quantities of the materials that make up the host star. This idea is also supported by evidence that rocky planets in our solar system are composed of some of the same materials as the Sun.","Given that stars and planets initially form from the same gas and dust in space, some astronomers have posited that host stars (such as the Sun) and their planets (such as those in our solar system) are composed of the same materials, with the planets containing equal or smaller quantities of the materials that make up the host star. This idea is also supported by evidence that rocky planets in our solar system are composed of some of the same materials as the Sun.","Which finding, if true, would most directly weaken the astronomers’ claim?","A) Most stars are made of hydrogen and helium, but when cooled they are revealed to contain small amounts of iron and silicate. B) A nearby host star is observed to contain the same proportion of hydrogen and helium as that of the Sun. C) Evidence emerges that the amount of iron in some rocky planets is considerably higher than the amount in their host star. D) The method for determining the composition of rocky planets is discovered to be less effective when used to analyze other kinds of planets.",Evidence emerges that the amount of iron in some rocky planets is considerably higher than the amount in their host star.
Reasoning,"In the twentieth century, ethnographers made a concerted effort to collect Mexican American folklore, but they did not always agree about that folklore’s origins. Scholars such as Aurelio Espinosa claimed that Mexican American folklore derived largely from the folklore of Spain, which ruled Mexico and what is now the southwestern United States from the sixteenth to early nineteenth centuries. Scholars such as Américo Paredes, by contrast, argued that while some Spanish influence is undeniable, Mexican American folklore is mainly the product of the ongoing interactions of various cultures in Mexico and the United States.","In the twentieth century, ethnographers made a concerted effort to collect Mexican American folklore, but they did not always agree about that folklore’s origins. Scholars such as Aurelio Espinosa claimed that Mexican American folklore derived largely from the folklore of Spain, which ruled Mexico and what is now the southwestern United States from the sixteenth to early nineteenth centuries. Scholars such as Américo Paredes, by contrast, argued that while some Spanish influence is undeniable, Mexican American folklore is mainly the product of the ongoing interactions of various cultures in Mexico and the United States.","Which finding, if true, would most directly support Paredes’s argument?","A) The folklore that the ethnographers collected included several songs written in the form of a <em>décima</em>, a type of poem originating in late sixteenth-century Spain. B) Much of the folklore that the ethnographers collected had similar elements from region to region. C) Most of the folklore that the ethnographers collected was previously unknown to scholars. D) Most of the folklore that the ethnographers collected consisted of <em>corridos</em>—ballads about history and social life—of a clearly recent origin.",Most of the folklore that the ethnographers collected consisted of <em>corridos</em>—ballads about history and social life—of a clearly recent origin.
fill in the blank,"In the early nineteenth century, some Euro-American farmers in the northeastern United States used agricultural techniques developed by the Haudenosaunee (Iroquois) people centuries earlier, but it seems that few of those farmers had actually seen Haudenosaunee farms firsthand. Barring the possibility of several farmers of the same era independently developing techniques that the Haudenosaunee people had already invented, these facts most strongly suggest that those farmers learned the techniques from other people who were more directly influenced by Haudenosaunee practices.","In the early nineteenth century, some Euro-American farmers in the northeastern United States used agricultural techniques developed by the Haudenosaunee (Iroquois) people centuries earlier, but it seems that few of those farmers had actually seen Haudenosaunee farms firsthand. Barring the possibility of several farmers of the same era independently developing techniques that the Haudenosaunee people had already invented, these facts most strongly suggest that _______",Which choice most logically completes the text?,A) those farmers learned the techniques from other people who were more directly influenced by Haudenosaunee practices. B) the crops typically cultivated by Euro-American farmers in the northeastern United States were not well suited to Haudenosaunee farming techniques. C) Haudenosaunee farming techniques were widely used in regions outside the northeastern United States. D) Euro-American farmers only began to recognize the benefits of Haudenosaunee farming techniques late in the nineteenth century.,those farmers learned the techniques from other people who were more directly influenced by Haudenosaunee practices.
fill in the blank,"If some artifacts recovered from excavations of the settlement of Kuulo Kataa, in modern Ghana, date from the thirteenth century CE, that may lend credence to claims that the settlement was founded before or around that time. There is other evidence, however, strongly supporting a fourteenth century CE founding date for Kuulo Kataa. If both the artifact dates and the fourteenth century CE founding date are correct, that would imply that the artifacts originated elsewhere and eventually reached Kuulo Kataa through trade or migration.","If some artifacts recovered from excavations of the settlement of Kuulo Kataa, in modern Ghana, date from the thirteenth century CE, that may lend credence to claims that the settlement was founded before or around that time. There is other evidence, however, strongly supporting a fourteenth century CE founding date for Kuulo Kataa. If both the artifact dates and the fourteenth century CE founding date are correct, that would imply that _______",Which choice most logically completes the text?,A) artifacts from the fourteenth century CE are more commonly recovered than are artifacts from the thirteenth century CE. B) the artifacts originated elsewhere and eventually reached Kuulo Kataa through trade or migration. C) Kuulo Kataa was founded by people from a different region than had previously been assumed. D) excavations at Kuulo Kataa may have inadvertently damaged some artifacts dating to the fourteenth century CE.,the artifacts originated elsewhere and eventually reached Kuulo Kataa through trade or migration.
fill in the blank,"A team of biologists led by Jae-Hoon Jung, Antonio D. Barbosa, and Stephanie Hutin investigated the mechanism that allows <em>Arabidopsis thaliana</em> (thale cress) plants to accelerate flowering at high temperatures. They replaced the protein ELF3 in the plants with a similar protein found in another species (stiff brome) that, unlike A. <em>thaliana</em>, displays no acceleration in flowering with increased temperature. A comparison of unmodified A. thaliana plants with the altered plants showed no difference in flowering at 22° Celsius, but at 27° Celsius, the unmodified plants exhibited accelerated flowering while the altered ones did not, which suggests that ELF3 enables A. <em>thaliana</em> to respond to increased temperatures.","A team of biologists led by Jae-Hoon Jung, Antonio D. Barbosa, and Stephanie Hutin investigated the mechanism that allows <em>Arabidopsis thaliana</em> (thale cress) plants to accelerate flowering at high temperatures. They replaced the protein ELF3 in the plants with a similar protein found in another species (stiff brome) that, unlike A. <em>thaliana</em>, displays no acceleration in flowering with increased temperature. A comparison of unmodified A. thaliana plants with the altered plants showed no difference in flowering at 22° Celsius, but at 27° Celsius, the unmodified plants exhibited accelerated flowering while the altered ones did not, which suggests that _______",Which choice most logically completes the text?,A) temperature-sensitive accelerated flowering is unique to A. <em>thaliana</em>. B) A. <em>thaliana</em> increases ELF3 production as temperatures rise. C) ELF3 enables A. <em>thaliana</em> to respond to increased temperatures. D) temperatures of at least 22° Celsius are required for A. <em>thaliana</em>to flower.,ELF3 enables A. <em>thaliana</em> to respond to increased temperatures.
grammar,"A member of the Cherokee Nation, Mary Golda Ross is renowned for her contributions to NASA’s Planetary Flight Handbook, which provided detailed mathematical guidance for missions to Mars and Venus.","A member of the Cherokee Nation, Mary Golda Ross is renowned for her contributions to NASA’s Planetary Flight Handbook, which _______ detailed mathematical guidance for missions to Mars and Venus.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) provided B) having provided C) to provide D) providing,provided
grammar,"Typically, underlines, scribbles, and notes left in the margins by a former owner lower a book’s value, but when the former owner is a famous poet like Walt Whitman, such markings, known as marginalia, can be a gold mine to literary scholars.","Typically, underlines, scribbles, and notes left in the margins by a former owner lower a book’s _______ when the former owner is a famous poet like Walt Whitman, such markings, known as marginalia, can be a gold mine to literary scholars.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) value, but B) value C) value, D) value but","value, but"
grammar,"After the United Kingdom began rolling out taxes equivalent to a few cents on single-use plastic grocery bags in 2011, plastic-bag consumption decreased by up to ninety percent. Such taxes are subject to what economists call the “rebound effect”: as the change became normalized, plastic-bag use started to creep back up.","After the United Kingdom began rolling out taxes equivalent to a few cents on single-use plastic grocery bags in 2011, plastic-bag consumption decreased by up to ninety _______ taxes are subject to what economists call the “rebound effect”: as the change became normalized, plastic-bag use started to creep back up.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) percent, such B) percent and such C) percent. Such D) percent such",percent. Such
grammar,"As British scientist Peter Whibberley has observed, “the Earth is not a very good timekeeper.” Earth’s slightly irregular rotation rate means that measurements of time must be periodically adjusted. Specifically, an extra “leap second” (the 86,401st second of the day) is added whenever time based on the planet’s rotation lags a full nine-tenths of a second behind time kept by precise atomic clocks.","As British scientist Peter Whibberley has observed, “the Earth is not a very good timekeeper.” Earth’s slightly irregular rotation rate means that measurements of time must be periodically adjusted. Specifically, an extra “leap second” (the 86,401st second of the day) is _______ time based on the planet’s rotation lags a full nine-tenths of a second behind time kept by precise atomic clocks.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) added, whenever B) added; whenever C) added. Whenever D) added whenever",added whenever
grammar,"Bengali author Toru Dutt’s <em>A Sheaf Gleaned in French Fields</em> (1876), a volume of English translations of French poems, has enhanced scholars’ understanding of the transnational and multilingual contexts in which Dutt lived and worked.","Bengali author Toru Dutt’s <em>A Sheaf Gleaned in French Fields</em> (1876), a volume of English translations of French poems, _______ scholars’ understanding of the transnational and multilingual contexts in which Dutt lived and worked.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) has enhanced B) are enhancing C) have enhanced D) enhance,has enhanced
grammar,"Journalists have dubbed Gil Scott-Heron the “godfather of rap,” a title that has appeared in hundreds of articles about him since the 1990s. ScottHeron himself resisted the godfather nickname, however, feeling that it didn’t encapsulate his devotion to the broader African American blues music tradition as well as “bluesologist,” the moniker he preferred.","Journalists have dubbed Gil Scott-Heron the “godfather of rap,” a title that has appeared in hundreds of articles about him since the 1990s. ScottHeron himself resisted the godfather _______ feeling that it didn’t encapsulate his devotion to the broader African American blues music tradition as well as “bluesologist,” the moniker he preferred.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) nickname, however B) nickname, however; C) nickname, however, D) nickname; however,","nickname, however,"
grammar,"From afar, African American fiber artist Bisa Butler’s portraits look like paintings, their depictions of human faces, bodies, and clothing so intricate that it seems only a fine brush could have rendered them. When viewed up close, however, the portraits reveal themselves to be quilts, the stitching barely visible among the thousands of pieces of printed, microcut fabric.","From afar, African American fiber artist Bisa Butler’s portraits look like paintings, their depictions of human faces, bodies, and clothing so intricate that it seems only a fine brush could have rendered them. When viewed up close, however, the portraits reveal themselves to be _______ stitching barely visible among the thousands of pieces of printed, microcut fabric.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) quilts, and the B) quilts, the C) quilts; the D) quilts. The","quilts, the"
conjunction,"Most conifers (trees belonging to the phylum Coniferophyta) are evergreen. That is, they keep their green leaves or needles year-round. However, not all conifer species are evergreen. Larch trees, for instance, lose their needles every fall.","Most conifers (trees belonging to the phylum Coniferophyta) are evergreen. That is, they keep their green leaves or needles year-round. However, not all conifer species are evergreen. Larch trees, _______ lose their needles every fall.",Which choice completes the text with the most logical transition?,"A) for instance, B) nevertheless, C) meanwhile, D) in addition,","for instance,"
Comparative Advantage Analysis,"While researching a topic, a student has taken the following notes: • Sam Maloof (1916–2009) was an American woodworker and furniture designer. • He was the son of Lebanese immigrants. • He received a “genius grant” from the John D. and Catherine T. MacArthur Foundation in 1985. • The Museum of Fine Arts in Boston, Massachusetts, owns a rocking chair that Maloof made from walnut wood. • The armrests and the seat of the chair are sleek and contoured, and the back consists of seven spindle-like slats.","While researching a topic, a student has taken the following notes: • Sam Maloof (1916–2009) was an American woodworker and furniture designer. • He was the son of Lebanese immigrants. • He received a “genius grant” from the John D. and Catherine T. MacArthur Foundation in 1985. • The Museum of Fine Arts in Boston, Massachusetts, owns a rocking chair that Maloof made from walnut wood. • The armrests and the seat of the chair are sleek and contoured, and the back consists of seven spindle-like slats.",The student wants to describe the rocking chair to an audience unfamiliar with Sam Maloof. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"A) With its sleek, contoured armrests and seat, the walnut rocking chair in Boston’s Museum of Fine Arts is just one piece of furniture created by American woodworker Sam Maloof. B) Sam Maloof was born in 1916 and died in 2009, and during his life, he made a chair that you can see if you visit the Museum of Fine Arts in Boston. C) Furniture designer Sam Maloof was a recipient of one of the John D. and Catherine T. MacArthur Foundation’s “genius grants.” D) The rocking chair is made from walnut, and it has been shaped such that its armrests and seat are sleek and contoured.","With its sleek, contoured armrests and seat, the walnut rocking chair in Boston’s Museum of Fine Arts is just one piece of furniture created by American woodworker Sam Maloof."
Comparative Advantage Analysis,"While researching a topic, a student has taken the following notes: • In the late 1890s, over 14,000 unique varieties of apples were grown in the US. • The rise of industrial agriculture in the mid-1900s narrowed the range of commercially grown crops. • Thousands of apple varieties considered less suitable for commercial growth were lost. • Today, only 15 apple varieties dominate the market, making up 90% of apples purchased in the US. • The Lost Apple Project, based in Washington State, attempts to find and grow lost apple varieties.","While researching a topic, a student has taken the following notes: • In the late 1890s, over 14,000 unique varieties of apples were grown in the US. • The rise of industrial agriculture in the mid-1900s narrowed the range of commercially grown crops. • Thousands of apple varieties considered less suitable for commercial growth were lost. • Today, only 15 apple varieties dominate the market, making up 90% of apples purchased in the US. • The Lost Apple Project, based in Washington State, attempts to find and grow lost apple varieties.",The student wants to emphasize the decline in unique apple varieties in the US and specify why this decline occurred. Which choice most effectively uses relevant information from the notes to accomplish these goals?,"A) The Lost Apple Project is dedicated to finding some of the apple varieties lost following a shift in agricultural practices in the mid-1900s. B) While over 14,000 apple varieties were grown in the US in the late 1890s, only 15 unique varieties make up most of the apples sold today. C) Since the rise of industrial agriculture, US farmers have mainly grown the same few unique apple varieties, resulting in the loss of thousands of varieties less suitable for commercial growth. D) As industrial agriculture rose to prominence in the mid-1900s, the number of crops selected for cultivation decreased dramatically.","Since the rise of industrial agriculture, US farmers have mainly grown the same few unique apple varieties, resulting in the loss of thousands of varieties less suitable for commercial growth."
Comparative Advantage Analysis,"While researching a topic, a student has taken the following notes: • Cecilia Vicuña is a multidisciplinary artist. • In 1971, her first solo art exhibition, <em>Pinturas, poemas y explicaciones</em>, was shown at the Museo Nacional de Bellas Artes in Santiago, Chile. • Her poetry collection <em>Precario/Precarious</em> was published in 1983 by Tanam Press. • Her poetry collection <em>Instan</em> was published in 2002 by Kelsey St. Press. • She lives part time in Chile, where she was born, and part time in New York.","While researching a topic, a student has taken the following notes: • Cecilia Vicuña is a multidisciplinary artist. • In 1971, her first solo art exhibition, <em>Pinturas, poemas y explicaciones</em>, was shown at the Museo Nacional de Bellas Artes in Santiago, Chile. • Her poetry collection <em>Precario/Precarious</em> was published in 1983 by Tanam Press. • Her poetry collection <em>Instan</em> was published in 2002 by Kelsey St. Press. • She lives part time in Chile, where she was born, and part time in New York.",The student wants to introduce the artist’s 1983 poetry collection. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"A) Before she published the books <em>Precario/Precarious</em> (1983) and <em>Instan</em> (2002), Cecilia Vicuña exhibited visual art at the Museo Nacional de Bellas Artes in Santiago, Chile. B) Cecilia Vicuña is a true multidisciplinary artist whose works include numerous poetry collections and visual art exhibitions. C) Published in 1983 by Tanam Press, <em>Precario/Precarious</em> is a collection of poetry by the multidisciplinary artist Cecilia Vicuña. D) In 1971, Cecilia Vicuña exhibited her first solo art exhibition, <em>Pinturas, poemas y explicaciones</em>, in Chile, her country of birth.","Published in 1983 by Tanam Press, <em>Precario/Precarious</em> is a collection of poetry by the multidisciplinary artist Cecilia Vicuña."
Comparative Advantage Analysis,"While researching a topic, a student has taken the following notes: • When medical students mention their patients on social media, they may violate patient confidentiality. • Terry Kind led a study to determine how many medical schools have student policies that mention social media use. • Kind and her team reviewed 132 medical school websites, examining publicly available student policies. • Only thirteen medical schools had guidelines that explicitly mention social media, and only five defined what constitutes acceptable social media use.","While researching a topic, a student has taken the following notes: • When medical students mention their patients on social media, they may violate patient confidentiality. • Terry Kind led a study to determine how many medical schools have student policies that mention social media use. • Kind and her team reviewed 132 medical school websites, examining publicly available student policies. • Only thirteen medical schools had guidelines that explicitly mention social media, and only five defined what constitutes acceptable social media use.",The student wants to emphasize the study’s methodology. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"A) The student policies of 132 medical schools can be found online, according to research by Terry Kind. B) To find out how many medical schools have guidelines about student social media use, Terry Kind and her team examined the student policies of 132 medical schools. C) Out of 132 medical schools, only thirteen had student policies that mentioned social media, and only five specified what use was acceptable. D) Terry Kind and her team wanted to know how many medical schools have student social media policies in place about protecting patient confidentiality.","To find out how many medical schools have guidelines about student social media use, Terry Kind and her team examined the student policies of 132 medical schools."
Comparative Advantage Analysis,"While researching a topic, a student has taken the following notes: • The Gullah are a group of African Americans who have lived in parts of the southeastern United States since the 18th century. • Gullah culture is influenced by West African and Central African traditions. • Louise Miller Cohen is a Gullah historian, storyteller, and preservationist. • She founded the Gullah Museum of Hilton Head Island, South Carolina, in 2003. • Vermelle Rodrigues is a Gullah historian, artist, and preservationist. • She founded the Gullah Museum of Georgetown, South Carolina, in 2003.","While researching a topic, a student has taken the following notes: • The Gullah are a group of African Americans who have lived in parts of the southeastern United States since the 18th century. • Gullah culture is influenced by West African and Central African traditions. • Louise Miller Cohen is a Gullah historian, storyteller, and preservationist. • She founded the Gullah Museum of Hilton Head Island, South Carolina, in 2003. • Vermelle Rodrigues is a Gullah historian, artist, and preservationist. • She founded the Gullah Museum of Georgetown, South Carolina, in 2003.",The student wants to emphasize the duration and purpose of Cohen’s and Rodrigues’s work. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"A) At the Gullah Museums in Hilton Head Island and Georgetown, South Carolina, visitors can learn more about the Gullah people who have lived in the region for centuries. B) Louise Miller Cohen and Vermelle Rodrigues have worked to preserve the culture of the Gullah people, who have lived in the United States since the 18th century. C) Since 2003, Louise Miller Cohen and Vermelle Rodrigues have worked to preserve Gullah culture through their museums. D) Influenced by the traditions of West and Central Africa, Gullah culture developed in parts of the southeastern United States in the 18th century.","Since 2003, Louise Miller Cohen and Vermelle Rodrigues have worked to preserve Gullah culture through their museums."
