type,passage,original,question,choices,answer
grammar,"The life spans of rockfish vary greatly by species. For instance, the colorful calico rockfish (<em>Sebastes dalli</em>) can survive for a little over a decade, while the rougheye rockfish (<em>Sebastes aleutianus</em>) boasts a maximum life span of about two centuries.","The life spans of rockfish vary greatly by species. For instance, the colorful calico rockfish (<em>Sebastes dalli</em>) can survive for a little over a ______ the rougheye rockfish (<em>Sebastes aleutianus</em>) boasts a maximum life span of about two centuries.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) decade: while B) decade. While C) decade; while D) decade, while","decade, while"
grammar,"The Lion Light system, developed by Kenyan inventor Richard Turere, consists of LED lights installed around the perimeter of livestock pastures. Powered with energy collected by solar panels during the day, the blinking LEDs keep lions away at night, thus protecting the livestock without risking harm to the endangered lions.","The Lion Light system, developed by Kenyan inventor Richard Turere, consists of LED lights installed around the perimeter of livestock pastures. Powered with ______ the blinking LEDs keep lions away at night, thus protecting the livestock without risking harm to the endangered lions.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) energy collected, by solar panels, during the day B) energy collected by solar panels during the day C) energy collected by solar panels during the day, D) energy, collected by solar panels during the day,","energy collected by solar panels during the day,"
grammar,"Materials scientist Marie-Agathe Charpagne and her colleagues believed they could improve on the multicomponent alloy NiCoCr, an equal-proportions mixture of nickel (Ni), cobalt (Co), and chromium (Cr), by replacing chromium with ruthenium (Ru), but the alloy that resulted, NiCoRu, turned out to be an unsuitable replacement for NiCoCr.","Materials scientist Marie-Agathe Charpagne and her colleagues believed they could improve on the multicomponent alloy NiCoCr, an equal-proportions mixture of nickel (Ni), cobalt (Co), and chromium (Cr), by replacing chromium with ruthenium ______ the alloy that resulted, NiCoRu, turned out to be an unsuitable replacement for NiCoCr.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) (Ru) B) (Ru) but C) (Ru), D) (Ru), but",(Ru
grammar,"The Progressive Era in the United States witnessed the rise of numerous Black women’s clubs, local organizations that advocated for racial and gender equality. Among the clubs’ leaders was Josephine St. Pierre Ruffin, founder of the Women’s Era Club of Boston.","The Progressive Era in the United States witnessed the rise of numerous Black women’s clubs, local organizations that advocated for racial and gender equality. Among the clubs’ leaders ______ Josephine St. Pierre Ruffin, founder of the Women’s Era Club of Boston.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) was B) were C) are D) have been,was
grammar,"Based on genetic evidence, archaeologists have generally agreed that reindeer domestication began in the eleventh century CE. However, since uncovering fragments of a 2,000-year-old reindeer training harness in northern Siberia, researcher Robert Losey has argued that domestication may have begun much earlier.","Based on genetic evidence, archaeologists have generally agreed that reindeer domestication began in the eleventh century CE. However, since uncovering fragments of a 2,000-year-old reindeer training harness in northern Siberia, ______ may have begun much earlier.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) researcher Robert Losey has argued that domestication B) researcher Robert Losey’s argument is that domestication C) domestication, researcher Robert Losey has argued, D) the argument researcher Robert Losey has made is that domestication",researcher Robert Losey has argued that domestication
grammar,"Hegra is an archaeological site in present-day Saudi Arabia and was the second largest city of the Nabataean Kingdom (fourth century BCE to first century CE). Archaeologist Laila Nehmé recently traveled to Hegra to study its ancient tombs. Built into the rocky outcrops of a vast desert, these burial chambers seem to blend seamlessly with nature.","Hegra is an archaeological site in present-day Saudi Arabia and was the second largest city of the Nabataean Kingdom (fourth century BCE to first century CE). Archaeologist Laila Nehmé recently traveled to Hegra to study its ancient ______ into the rocky outcrops of a vast desert, these burial chambers seem to blend seamlessly with nature.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) tombs. Built B) tombs, built C) tombs and built D) tombs built",tombs. Built
grammar,"When external forces are applied to common glass made from silicates, energy builds up around minuscule defects in the material, resulting in fractures. Recently, engineer Erkka Frankberg of Tampere University in Finland used the chemical compound aluminum oxide to make a glassy solid that can withstand higher strain than silicate glass can before fracturing.","When external forces are applied to common glass made from silicates, energy builds up around minuscule defects in the material, resulting in fractures. Recently, engineer Erkka Frankberg of Tampere University in Finland used the chemical ______ to make a glassy solid that can withstand higher strain than silicate glass can before fracturing.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) compound, aluminum oxide B) compound aluminum oxide, C) compound, aluminum oxide, D) compound aluminum oxide",compound aluminum oxide
grammar,"Public-awareness campaigns about the need to reduce single-use plastics can be successful, says researcher Kim Borg of Monash University in Australia, when these campaigns give consumers a choice: for example, Japan achieved a 40 percent reduction in plastic-bag use after cashiers were instructed to ask customers whether they wanted a bag.","Public-awareness campaigns about the need to reduce single-use plastics can be successful, says researcher Kim Borg of Monash University in Australia, when these campaigns give consumers a choice: for example, Japan achieved a 40 percent reduction in plastic-bag use after cashiers were instructed to ask customers whether _______ wanted a bag.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) they B) one C) you D) it,they
grammar,"In ancient Greece, an Epicurean was a follower of Epicurus, a philosopher whose beliefs revolved around the pursuit of pleasure. Epicurus defined pleasure as “the absence of pain in the body and of trouble in the soul,” positing that all life’s virtues derived from this absence.","In ancient Greece, an Epicurean was a follower of Epicurus, a philosopher whose beliefs revolved around the pursuit of pleasure. Epicurus defined pleasure as “the absence of pain in the body and of trouble in the _______ that all life’s virtues derived from this absence.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) soul,” positing B) soul”: positing C) soul”; positing D) soul.” Positing","soul,” positing"
grammar,"British scientists James Watson and Francis Crick won the Nobel Prize in part for their 1953 paper announcing the double helix structure of DNA, but it is misleading to say that Watson and Crick discovered the double helix. Their findings were based on a famous X-ray image of DNA fibers, “Photo 51,” developed by X-ray crystallographer Rosalind Franklin and her graduate student Raymond Gosling.","British scientists James Watson and Francis Crick won the Nobel Prize in part for their 1953 paper announcing the double helix structure of DNA, but it is misleading to say that Watson and Crick discovered the double helix. _______ findings were based on a famous X-ray image of DNA fibers, “Photo 51,” developed by X-ray crystallographer Rosalind Franklin and her graduate student Raymond Gosling.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) They’re B) It’s C) Their D) Its,Their
grammar,"In 1937, Chinese American screen actor Anna May Wong, who had portrayed numerous villains and secondary characters but never a heroine, finally got a starring role in Paramount Pictures’ <em>Daughter of Shanghai</em>, a film that critic Stina Chyn claims “expanded the range of possibilities for Asian images on screen.”","In 1937, Chinese American screen actor Anna May Wong, who had portrayed numerous villains and secondary characters but never a heroine, finally got a starring role in Paramount Pictures’ <em>Daughter of Shanghai</em>, a film that _______ “expanded the range of possibilities for Asian images on screen.”",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) critic, Stina Chyn, claims B) critic, Stina Chyn, claims, C) critic Stina Chyn claims D) critic Stina Chyn, claims,",critic Stina Chyn claims
grammar,"In 1637, the price of tulips skyrocketed in Amsterdam, with single bulbs of rare varieties selling for up to the equivalent of $200,000 in today’s US dollars. Some historians claim that this “tulip mania” was the first historical instance of an asset bubble, which occurs when investors drive prices to highs not supported by actual demand.","In 1637, the price of tulips skyrocketed in Amsterdam, with single bulbs of rare varieties selling for up to the equivalent of $200,000 in today’s US dollars. Some historians _______ that this “tulip mania” was the first historical instance of an asset bubble, which occurs when investors drive prices to highs not supported by actual demand.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) claiming B) claim C) having claimed D) to claim,claim
grammar,"Researchers studying magnetosensation have determined why some soil-dwelling roundworms in the Southern Hemisphere move in the opposite direction of Earth’s magnetic field when searching for food: in the Northern Hemisphere, the magnetic field points down, into the ground, but in the Southern Hemisphere, it points up, toward the surface and away from worms’ food sources.","Researchers studying magnetosensation have determined why some soil-dwelling roundworms in the Southern Hemisphere move in the opposite direction of Earth’s magnetic field when searching for _______ in the Northern Hemisphere, the magnetic field points down, into the ground, but in the Southern Hemisphere, it points up, toward the surface and away from worms’ food sources.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) food: B) food, C) food while D) food",food:
grammar,"Scientists believe that, unlike most other species of barnacle, turtle barnacles (<em>Chelonibia testudinari</em>) can dissolve the cement-like secretions they use to attach themselves to a sea turtle shell, enabling the barnacles to move short distances across the shell’s surface.","Scientists believe that, unlike most other species of barnacle, turtle barnacles (<em>Chelonibia testudinari</em>) can dissolve the cement-like secretions they use to attach _______ to a sea turtle shell, enabling the barnacles to move short distances across the shell’s surface.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) it B) themselves C) them D) itself,themselves
grammar,"The classic children’s board game Chutes and Ladders is a version of an ancient Nepalese game, Paramapada Sopanapata. In both games, players encounter “good” or “bad” spaces while traveling along a path; landing on one of the good spaces allows a player to skip ahead and arrive closer to the end goal.","The classic children’s board game Chutes and Ladders is a version of an ancient Nepalese game, Paramapada Sopanapata. In both games, players encounter “good” or “bad” spaces while traveling along a path; landing on one of the good spaces _______ a player to skip ahead and arrive closer to the end goal.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) allows B) are allowing C) have allowed D) allow,allows
grammar,"In 1943, in the midst of World War II, mathematics professor Grace Hopper was recruited by the US military to help the war effort by solving complex equations. Hopper’s subsequent career would involve more than just equations, though: as a pioneering computer programmer, Hopper would help usher in the digital age.","In 1943, in the midst of World War II, mathematics professor Grace Hopper was recruited by the US military to help the war effort by solving complex equations. Hopper’s subsequent career would involve more than just _______ as a pioneering computer programmer, Hopper would help usher in the digital age.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) equations, though: B) equations, though, C) equations. Though, D) equations though","equations, though:"
grammar,"In 1453, English King Henry VI became unfit to rule after falling gravely ill. As a result, Parliament appointed Richard, Third Duke of York, who had a strong claim to the English throne, to rule as Lord Protector. Upon recovering two years later, Henry resumed his reign, forcing an angered Richard from the royal court and precipitating a series of battles later known as the Wars of the Roses.","In 1453, English King Henry VI became unfit to rule after falling gravely ill. As a result, Parliament appointed Richard, Third Duke of York, who had a strong claim to the English throne, to rule as Lord Protector. Upon recovering two years later, _______ forcing an angered Richard from the royal court and precipitating a series of battles later known as the Wars of the Roses.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) Henry resumed his reign, B) the reign of Henry resumed, C) Henry’s reign resumed, D) it was Henry who resumed his reign,","Henry resumed his reign,"
grammar,"When writing <em>The Other Black Girl</em> (2021), novelist Zakiya Dalila Harris drew on her own experiences working at a publishing office. The award-winning book is Harris’s first novel, but her writing has been honored before. At the age of twelve, she entered a contest to have a story published in American Girl magazine—and won.","When writing <em>The Other Black Girl</em> (2021), novelist Zakiya Dalila Harris drew on her own experiences working at a publishing office. The award-winning book is Harris’s first novel, but her writing _______ honored before. At the age of twelve, she entered a contest to have a story published in American Girl magazine—and won.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) were B) have been C) has been D) are,has been
grammar,"The Alvarez theory, developed in 1980 by physicist Luis Walter Alvarez and his geologist son Walter Alvarez, maintained that the secondary effects of an asteroid impact caused many dinosaurs and other animals to die out, but it left unexplored the question of whether unrelated volcanic activity might have also contributed to the mass extinctions.","The Alvarez theory, developed in 1980 by physicist Luis Walter Alvarez and his geologist son Walter Alvarez, maintained that the secondary effects of an asteroid impact caused many dinosaurs and other animals to die _______ it left unexplored the question of whether unrelated volcanic activity might have also contributed to the mass extinctions.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) out but B) out, but C) out D) out","out, but"
grammar,"In winter, the diets of Japanese macaques, also known as snow monkeys, are influenced more by food availability than by food preference. Although the monkeys prefer to eat vegetation and land-dwelling invertebrates, those food sources may become unavailable because of extensive snow and ice cover, forcing the monkeys to hunt for marine animals in any streams that have not frozen over","In winter, the diets of Japanese macaques, also known as snow monkeys, are influenced more by food availability than by food preference. Although the monkeys prefer to eat vegetation and land-dwelling invertebrates, those food sources may become unavailable because of extensive snow and ice cover, _______ the monkeys to hunt for marine animals in any streams that have not frozen over",Which choice completes the text so that it conforms to the conventions of Standard English?,A) forces B) to force C) forcing D) forced,forcing
grammar,"Lucía Michel of the University of Chile observed that alkaline soils contain an insoluble form of iron that blueberry plants cannot absorb, thus inhibiting blueberry growth. If these plants were grown in alkaline soil alongside grasses that aid in iron solubilization, could the blueberries thrive? Michel was determined to find out.","Lucía Michel of the University of Chile observed that alkaline soils contain an insoluble form of iron that blueberry plants cannot absorb, thus inhibiting blueberry growth. If these plants were grown in alkaline soil alongside grasses that aid in iron solubilization, _______ Michel was determined to find out.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) could the blueberries thrive. B) the blueberries could thrive. C) the blueberries could thrive? D) could the blueberries thrive?,could the blueberries thrive?
grammar,"In his 1963 exhibition <em>Exposition of Music—Electronic Television</em>, Korean American artist Nam June Paik showed how television images could be manipulated to express an artist’s perspective. Today, Paik is considered the first video artist.","In his 1963 exhibition <em>Exposition of Music—Electronic Television</em>, Korean American artist Nam June Paik showed how television images could be manipulated to express an artist’s perspective. Today, Paik _______ considered the first video artist.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) will be B) had been C) was D) is,is
grammar,"The first computerized spreadsheet, Dan Bricklin’s <em>VisiCalc</em>, improved financial recordkeeping not only by providing users with an easy means of adjusting data in spreadsheets but also by automatically updating all calculations that were dependent on these adjustments. Prior to VisiCalc’s release, changing a paper spreadsheet often required redoing the entire sheet by hand, a process that could take days.","The first computerized spreadsheet, Dan Bricklin’s <em>VisiCalc</em>, improved financial recordkeeping not only by providing users with an easy means of adjusting data in spreadsheets but also by automatically updating all calculations that were dependent on these _______ to VisiCalc’s release, changing a paper spreadsheet often required redoing the entire sheet by hand, a process that could take days.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) adjustments prior B) adjustments, prior C) adjustments. Prior D) adjustments and prior",adjustments. Prior
grammar,"In order to prevent nonnative fish species from moving freely between the Mediterranean and Red Seas, marine biologist Bella Galil has proposed that a saline lock system be installed along the Suez Canal in Egypt’s Great Bitter Lakes. The lock would increase the salinity of the lakes and create a natural barrier of water most marine creatures would be unable to cross.","In order to prevent nonnative fish species from moving freely between the Mediterranean and Red Seas, marine biologist Bella Galil has proposed that a saline lock system be installed along the Suez Canal in Egypt’s Great Bitter Lakes. The lock would increase the salinity of the lakes and _______ a natural barrier of water most marine creatures would be unable to cross.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) creates B) create C) creating D) created,create
grammar,"Despite being cheap, versatile, and easy to produce, commercial plastics have two associated problems: they are made from nonrenewable petroleum, and most do not biodegrade in landfills.","Despite being cheap, versatile, and easy to produce, _______ they are made from nonrenewable petroleum, and most do not biodegrade in landfills.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) there are two problems associated with commercial plastics: B) two problems are associated with commercial plastics: C) commercial plastics’ two associated problems are that D) commercial plastics have two associated problems:,commercial plastics have two associated problems:
grammar,"Stomata, tiny pore structures in a leaf that absorb gases needed for plant growth, open when guard cells surrounding each pore swell with water. In a pivotal 2007 article, plant cell biologist Yuree Lee showed that lipid molecules called phosphatidylinositol phosphates are responsible for signaling guard cells to open stomata.","Stomata, tiny pore structures in a leaf that absorb gases needed for plant growth, open when guard cells surrounding each pore swell with water. In a pivotal 2007 article, plant cell _______ showed that lipid molecules called phosphatidylinositol phosphates are responsible for signaling guard cells to open stomata.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) biologist, Yuree Lee B) biologist Yuree Lee, C) biologist Yuree Lee D) biologist, Yuree Lee,",biologist Yuree Lee
grammar,"To survive when water is scarce, embryos inside African turquoise killifish eggs enter a dormant state known as diapause. In this state, embryonic development is paused for as long as two years—longer than the life span of an adult killifish.","To survive when water is scarce, embryos inside African turquoise killifish eggs ______ a dormant state known as diapause. In this state, embryonic development is paused for as long as two years—longer than the life span of an adult killifish.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) enter B) to enter C) having entered D) entering,enter
grammar,"Formed in 1967 to foster political and economic stability within the Asia-Pacific region, the Association of Southeast Asian Nations was originally made up of five members: Thailand, the Philippines, Singapore, Malaysia, and Indonesia. By the end of the 1990s, the organization had doubled its initial membership.","Formed in 1967 to foster political and economic stability within the Asia-Pacific region, the Association of Southeast Asian Nations was originally made up of five members: Thailand, the Philippines, Singapore, Malaysia, and Indonesia. By the end of the 1990s, the organization ______ its initial membership.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) has doubled B) had doubled C) doubles D) will double,had doubled
grammar,"The intense pressure found in the deep ocean can affect the structure of proteins in fish’s cells, distorting the proteins’ shape. The chemical trimethylamine N-oxide (TMAO) counters this effect, ensuring that proteins retain their original configurations. TMAO is found in high concentrations in the cells of the deepest-dwelling fish.","The intense pressure found in the deep ocean can affect the structure of proteins in fish’s cells, distorting the proteins’ shape. The chemical trimethylamine N-oxide (TMAO) counters this effect, ensuring that proteins retain their original ______ is found in high concentrations in the cells of the deepest-dwelling fish.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) configurations. TMAO B) configurations TMAO C) configurations, TMAO D) configurations and TMAO",configurations. TMAO
grammar,"Food and the sensation of taste are central to Monique Truong’s novels. In The Book of Salt, for example, the exiled character of Bình connects to his native Saigon through the food he prepares, while in Bitter in the Mouth, the character of Linda experiences a form of synesthesia whereby the words she hears evoke tastes.","Food and the sensation of taste are central to Monique Truong’s novels. In The Book of Salt, for example, the exiled character of Bình connects to his native Saigon through the food he prepares, while in Bitter in the Mouth, the character of Linda ______ a form of synesthesia whereby the words she hears evoke tastes.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) experienced B) had experienced C) experiences D) will be experiencing,experiences
grammar,"Inventor John Friedman created a prototype of the first flexible straw by inserting a screw into a paper straw and, using dental floss, binding the straw tightly around the screw’s threads. When the floss and screw were removed, the resulting corrugations in the paper allowed the straw to bend easily over the edge of a glass.","Inventor John Friedman created a prototype of the first flexible straw by inserting a screw into a paper straw and, using dental floss, binding the straw tightly around the ______ When the floss and screw were removed, the resulting corrugations in the paper allowed the straw to bend easily over the edge of a glass.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) screw’s thread’s. B) screws’ threads. C) screw’s threads. D) screws threads’.,screw’s threads.
grammar,"In her analysis of Edith Wharton’s The House of Mirth (1905), scholar Candace Waid observes that the novel depicts the upper classes of New York society as “consumed by the appetite of a soulless materialism,” an apt assessment given that The House of Mirth is set during the Gilded Age, a period marked by rapid industrialization, economic greed, and widening wealth disparities.","In her analysis of Edith Wharton’s The House of Mirth (1905), scholar Candace Waid observes that the novel depicts the upper classes of New York society as “consumed by the appetite of a soulless ______ an apt assessment given that The House of Mirth is set during the Gilded Age, a period marked by rapid industrialization, economic greed, and widening wealth disparities.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) materialism”; and B) materialism” and C) materialism,” D) materialism”","materialism,”"
grammar,"To humans, it does not appear that the golden orb-weaver spider uses camouflage to capture its prey; rather, the brightly colored arachnid seems to wait conspicuously in the center of its large circular web for insects to approach. Researcher Po Peng of the University of Melbourne has explained that the spider’s distinctive coloration may in fact be part of its appeal.","To humans, it does not appear that the golden orb-weaver spider uses camouflage to capture its ______ the brightly colored arachnid seems to wait conspicuously in the center of its large circular web for insects to approach. Researcher Po Peng of the University of Melbourne has explained that the spider’s distinctive coloration may in fact be part of its appeal.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) prey, rather, B) prey rather, C) prey, rather; D) prey; rather,","prey; rather,"
grammar,"In Death Valley National Park’s Racetrack Playa, a flat, dry lakebed, are 162 rocks—some weighing less than a pound but others almost 700 pounds—that move periodically from place to place, seemingly of their own volition. Racetrack-like trails in the playa’s sediment mark the rocks mysterious migration.","In Death Valley National Park’s Racetrack Playa, a flat, dry lakebed, are 162 rocks—some weighing less than a pound but others almost 700 pounds—that move periodically from place to place, seemingly of their own volition. Racetrack-like trails in the ______ mysterious migration.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) playas sediment mark the rock’s B) playa’s sediment mark the rocks C) playa’s sediment mark the rocks’ D) playas’ sediment mark the rocks’,playa’s sediment mark the rocks
grammar,"In crafting her fantasy fiction, Nigerian-born British author Helen Oyeyemi has drawn inspiration from the classic nineteenth-century fairy tales of the Brothers Grimm. Her 2014 novel Boy, Snow, Bird, for instance, is a complex retelling of the story of Snow White, while her 2019 novel <em>Gingerbread</em> offers a delicious twist on the classic tale of Hansel and Gretel.","In crafting her fantasy fiction, Nigerian-born British author Helen Oyeyemi has drawn inspiration from the classic nineteenth-century fairy tales of the Brothers Grimm. Her 2014 novel Boy, Snow, Bird, for instance, is a complex retelling of the story of Snow White, while her 2019 novel ______ offers a delicious twist on the classic tale of Hansel and Gretel.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) <em>Gingerbread</em>— B) <em>Gingerbread</em>, C) <em>Gingerbread</em> D) <em>Gingerbread</em>:",<em>Gingerbread</em>
grammar,"For thousands of years, people in the Americas have used the bottle gourd, a large bitter fruit with a thick rind, to make bottles, other types of containers, and even musical instruments. Oddly, there is no evidence that any type of bottle gourd is native to the Western Hemisphere; either the fruit or its seeds must have somehow been carried from Asia or Africa.","For thousands of years, people in the Americas ______ the bottle gourd, a large bitter fruit with a thick rind, to make bottles, other types of containers, and even musical instruments. Oddly, there is no evidence that any type of bottle gourd is native to the Western Hemisphere; either the fruit or its seeds must have somehow been carried from Asia or Africa.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) to use B) have used C) having used D) using,have used
grammar,"While many video game creators strive to make their graphics ever more lifelike, others look to the past, developing titles with visuals inspired by the “8-bit” games of the 1980s and 1990s. (The term “8-bit” refers to a console whose processor could only handle eight bits of data at once.)","While many video game creators strive to make their graphics ever more ______ others look to the past, developing titles with visuals inspired by the “8-bit” games of the 1980s and 1990s. (The term “8-bit” refers to a console whose processor could only handle eight bits of data at once.)",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) lifelike but B) lifelike C) lifelike, D) lifelike, but","lifelike,"
grammar,"In the 1950s, a man named Joseph McVicker was struggling to keep his business afloat when his sisterin-law Kay Zufall advised him to repurpose the company’s product, a nontoxic, clay-like substance for removing soot from wallpaper, as a modeling putty for kids. In addition, Zufall suggested selling the product under a child-friendly name: Play-Doh.","In the 1950s, a man named Joseph McVicker was struggling to keep his business afloat when his sisterin-law Kay Zufall advised him to repurpose the company’s product, a nontoxic, clay-like substance for removing soot from wallpaper, as a modeling putty for kids. In addition, Zufall ______ selling the product under a child-friendly name: Play-Doh.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) suggested B) suggests C) had suggested D) was suggesting,suggested
